"","slug","symbol","name","date","ranknow","open","high","low","close","volume","market","close_ratio","spread"
"2964","bitcoin-cash","BCH","Bitcoin Cash",2018-03-17,5,974.7,1028.73,930.44,949.78,411316000,16168562807,0.196764675958896,98.29
"2965","bitcoin-cash","BCH","Bitcoin Cash",2018-03-18,5,948.28,948.28,851.61,938.11,435070016,15971701036,0.894796731147202,96.67
"2966","bitcoin-cash","BCH","Bitcoin Cash",2018-03-19,5,942.6,997.28,915.51,994.67,425419008,16936492860,0.968081203375321,81.77
"2967","bitcoin-cash","BCH","Bitcoin Cash",2018-03-20,5,998.17,1072.42,958.51,1059.12,503262016,18035635329,0.883241155298041,113.91
"2968","bitcoin-cash","BCH","Bitcoin Cash",2018-03-21,5,1066.03,1082.35,1016.37,1033.45,389291008,17600286488,0.258866323128221,65.98
"2969","bitcoin-cash","BCH","Bitcoin Cash",2018-03-22,5,1033.26,1064.22,992.55,1011.52,344283008,17228587960,0.264685363471467,71.67
"2970","bitcoin-cash","BCH","Bitcoin Cash",2018-03-23,5,1011.83,1019.43,966.4,1019.43,303600000,17365238220,0.999999999999999,53.03
"2971","bitcoin-cash","BCH","Bitcoin Cash",2018-03-24,5,1028.12,1030.43,982.3,982.3,264080000,16734538466,0,48.13
"2972","bitcoin-cash","BCH","Bitcoin Cash",2018-03-25,5,973.6,991.07,965.52,966.88,237008000,16473439913,0.0532289628180044,25.55
"2973","bitcoin-cash","BCH","Bitcoin Cash",2018-03-26,5,967.9,975.61,887,919.25,347366016,15663618221,0.363954406951811,88.61
"2974","bitcoin-cash","BCH","Bitcoin Cash",2018-03-27,5,916.99,926.38,876.33,876.33,339011008,14933976474,0,50.05
"2975","bitcoin-cash","BCH","Bitcoin Cash",2018-03-28,5,876.36,897.63,852.88,860.52,337268000,14665917656,0.17072625698324,44.75
"2976","bitcoin-cash","BCH","Bitcoin Cash",2018-03-29,5,861.61,867.31,703.18,714.27,452656000,12174626633,0.067568390909645,164.13
"2977","bitcoin-cash","BCH","Bitcoin Cash",2018-03-30,5,712.41,766.97,677.53,697.01,416567008,11881684759,0.217799642218247,89.44
"2978","bitcoin-cash","BCH","Bitcoin Cash",2018-03-31,5,697.62,735.82,683.99,685.25,306972000,11682407783,0.0243102450318347,51.83
"2979","bitcoin-cash","BCH","Bitcoin Cash",2018-04-01,5,688.01,699.05,629.93,643.03,318440000,10963859523,0.189525462962963,69.12
"2980","bitcoin-cash","BCH","Bitcoin Cash",2018-04-02,5,644.46,686.03,641.43,662.77,282036000,11301621765,0.478475336322871,44.6
"2981","bitcoin-cash","BCH","Bitcoin Cash",2018-04-03,5,664.15,719.77,660.34,712.88,303771008,12157350124,0.884065286892141,59.43
"2982","bitcoin-cash","BCH","Bitcoin Cash",2018-04-04,5,710.47,711.27,638.01,649.2,282960000,11072508447,0.152743652743653,73.26
"2983","bitcoin-cash","BCH","Bitcoin Cash",2018-04-05,5,648.63,655.52,620.1,646.04,243988992,11019780660,0.732354601919818,35.42
"2984","bitcoin-cash","BCH","Bitcoin Cash",2018-04-06,5,641.86,646.08,603.71,610.43,225186000,10413379219,0.158602784989377,42.37
"2985","bitcoin-cash","BCH","Bitcoin Cash",2018-04-07,5,611.2,652.59,610.41,640.35,231143008,10925007141,0.709815078236132,42.18
